_id,averagePrice,ceilingPrice,closePrice,closePriceAdjusted,day,exchange,floorPrice,foreignBuyValTotal,foreignBuyVolDeal,foreignBuyVolMatched,foreignBuyVolTotal,foreignCurrentRoom,foreignSellValTotal,foreignSellVolTotal,highestPrice,lowestPrice,netBuySellVal,netBuySellVol,openPrice,perPriceChange,priceChange,refPrice,symbol,totalBuyTrade,totalBuyTradeVol,totalDealVal,totalDealVol,totalMatchVal,totalMatchVol,totalSellTrade,totalSellTradeVol,tradingDate
6661725c4a08898920212663,0,94900,88800,88800,2024_06_05,0,82500,71073330000,240400,557400,797800,370888603,81398945900,914796,89500,88600,-10325615900,-116996,88700,0.0011274,100,88700,VCB,3447,2836598,36490487800,400579,167907045100,1886226,3104,3852097,05/06/2024 00:00:00
6661725c4a08898920212664,0,94300,88700,88700,2024_06_04,0,82100,66663730000,350000,400900,750900,370525606,57077250300,642350,89200,88300,9586479700,108550,88900,0.00566893,500,88200,VCB,3641,3180056,31046307200,350101,161595349700,1818442,2703,3257661,04/06/2024 00:00:00
6661725c4a08898920212665,0,93300,88200,88200,2024_06_03,0,81100,16323560000,0,184170,184170,367883853,102904635400,1160797,89300,88000,-86581075400,-976627,88000,0.01146789,1000,87200,VCB,4150,3538651,2241016800,25069,187068259000,2111127,1874,3385750,03/06/2024 00:00:00
6661725c4a08898920212666,0,94800,87200,87200,2024_05_31,0,82400,37445569800,0,424343,424343,366548279,294236462600,3342653,89000,87200,-256790892800,-2918310,88700,-0.01580135,-1400,88600,VCB,8900,6219528,24347400,273,345655121600,3927010,2867,5644615,31/05/2024 00:00:00
6661725c4a08898920212667,0,96000,88600,88600,2024_05_30,0,83600,22299815000,0,250515,250515,366486137,135205107400,1519744,89700,88500,-112905292400,-1269229,89500,-0.01336303,-1200,89800,VCB,5617,4382498,4093873600,45032,209862113500,2358180,2279,3309621,30/05/2024 00:00:00
6661725c4a08898920212668,0,97000,89800,89800,2024_05_29,0,84400,8643210000,0,95700,95700,366069383,43816436100,486485,91000,89800,-35173226100,-390785,90800,-0.00992282,-900,90700,VCB,3603,2368221,12516600,138,106983194200,1188182,1936,2238524,29/05/2024 00:00:00
6661725c4a08898920212669,0,96500,90700,90700,2024_05_28,0,83900,59091840000,300000,356500,656500,365981395,60046553400,667269,90700,89800,-954713400,-10769,89800,0.00554324,500,90200,VCB,4421,2862199,41324859800,464249,121662055800,1351470,1771,2097275,28/05/2024 00:00:00
6661725c4a0889892021266a,0,96500,90200,90200,2024_05_27,0,83900,35508627000,200000,194535,394535,366083310,18586466100,206488,90600,89700,16922160900,188047,90400,0,0,90200,VCB,3418,2358834,17998424000,200120,95323779300,1060054,1623,2229511,27/05/2024 00:00:00
6661725c4a0889892021266b,0,97300,90200,90200,2024_05_24,0,84700,11243550000,0,124300,124300,365522689,49242539400,544585,91000,90000,-37998989400,-420285,91000,-0.00879121,-800,91000,VCB,4938,4360972,14995830000,164030,202764740600,2243441,2620,3170289,24/05/2024 00:00:00
6661725c4a0889892021266c,0,97000,91000,91000,2024_05_23,0,84400,35344471800,0,389002,389002,365522689,38526700600,423871,91500,90500,-3182228800,-34869,90700,0.00330761,300,90700,VCB,2671,2832710,6167600,68,119732826000,1318403,1500,2493445,23/05/2024 00:00:00
